issuer,processing_year,processing_month,processing_day,plan_year,filename,logical_filename,source_path,nested_relative,file_timestamp,parsed_timestamp,issuer_mismatch,plan_year_differs_from_processing_year,filename_parse_ok
13535,2026,01,20,2026,to_13535_INDV_MONTHLYDISCREPANCY_2026_20260120233803.OUT.good.gz,to_13535_INDV_MONTHLYDISCREPANCY_2026_20260120233803.OUT.good,/archive/out/good/PAS/13535/2026/01/20/30434_402261978611/to_13535_INDV_MONTHLYDISCREPANCY_2026_20260120233803.OUT.good.gz,30434_402261978611,20260120233803,2026-01-20 23:38:03,False,False,True
13535,2026,01,27,2025,to_13535_INDV_MONTHLYDISCREPANCY_2025_20260127221729.OUT.good.gz,to_13535_INDV_MONTHLYDISCREPANCY_2025_20260127221729.OUT.good,/archive/out/good/PAS/13535/2026/01/27/3558332_593393076201/to_13535_INDV_MONTHLYDISCREPANCY_2025_20260127221729.OUT.good.gz,3558332_593393076201,20260127221729,2026-01-27 22:17:29,False,True,True
13535,2026,02,18,2026,to_13535_INDV_MONTHLYDISCREPANCY_2026_20260218232458.OUT.good.gz,to_13535_INDV_MONTHLYDISCREPANCY_2026_20260218232458.OUT.good,/archive/out/good/PAS/13535/2026/02/18/3558332_584241337523/to_13535_INDV_MONTHLYDISCREPANCY_2026_20260218232458.OUT.good.gz,3558332_584241337523,20260218232458,2026-02-18 23:24:58,False,False,True
13535,2026,02,19,2025,to_13535_INDV_MONTHLYDISCREPANCY_2025_20260219223416.OUT.good.gz,to_13535_INDV_MONTHLYDISCREPANCY_2025_20260219223416.OUT.good,/archive/out/good/PAS/13535/2026/02/19/3558332_457079698966/to_13535_INDV_MONTHLYDISCREPANCY_2025_20260219223416.OUT.good.gz,3558332_457079698966,20260219223416,2026-02-19 22:34:16,False,True,True
15105,2026,01,16,2025,to_15105_INDV_MONTHLYDISCREPANCY_2025_20260117000450.OUT.good.gz,to_15105_INDV_MONTHLYDISCREPANCY_2025_20260117000450.OUT.good,/archive/out/good/PAS/15105/2026/01/16/30434_103106713324/to_15105_INDV_MONTHLYDISCREPANCY_2025_20260117000450.OUT.good.gz,30434_103106713324,20260117000450,2026-01-17 00:04:50,False,True,True
15105,2026,01,16,2026,to_15105_INDV_MONTHLYDISCREPANCY_2026_20260117000926.OUT.good.gz,to_15105_INDV_MONTHLYDISCREPANCY_2026_20260117000926.OUT.good,/archive/out/good/PAS/15105/2026/01/16/30434_928166304473/to_15105_INDV_MONTHLYDISCREPANCY_2026_20260117000926.OUT.good.gz,30434_928166304473,20260117000926,2026-01-17 00:09:26,False,False,True
15105,2026,02,16,2025,to_15105_INDV_MONTHLYDISCREPANCY_2025_20260216234546.OUT.good.gz,to_15105_INDV_MONTHLYDISCREPANCY_2025_20260216234546.OUT.good,/archive/out/good/PAS/15105/2026/02/16/3558332_625109511513/to_15105_INDV_MONTHLYDISCREPANCY_2025_20260216234546.OUT.good.gz,3558332_625109511513,20260216234546,2026-02-16 23:45:46,False,True,True
15105,2026,02,16,2026,to_15105_INDV_MONTHLYDISCREPANCY_2026_20260216234547.OUT.good.gz,to_15105_INDV_MONTHLYDISCREPANCY_2026_20260216234547.OUT.good,/archive/out/good/PAS/15105/2026/02/16/3558332_955397441537/to_15105_INDV_MONTHLYDISCREPANCY_2026_20260216234547.OUT.good.gz,3558332_955397441537,20260216234547,2026-02-16 23:45:47,False,False,True
37001,2026,01,14,2026,to_37001_INDV_MONTHLYDISCREPANCY_2026_20260114210256.OUT.good.gz,to_37001_INDV_MONTHLYDISCREPANCY_2026_20260114210256.OUT.good,/archive/out/good/PAS/37001/2026/01/14/30434_54827071424/to_37001_INDV_MONTHLYDISCREPANCY_2026_20260114210256.OUT.good.gz,30434_54827071424,20260114210256,2026-01-14 21:02:56,False,False,True
37001,2026,01,15,2025,to_37001_INDV_MONTHLYDISCREPANCY_2025_20260115203122.OUT.good.gz,to_37001_INDV_MONTHLYDISCREPANCY_2025_20260115203122.OUT.good,/archive/out/good/PAS/37001/2026/01/15/30434_107630179337/to_37001_INDV_MONTHLYDISCREPANCY_2025_20260115203122.OUT.good.gz,30434_107630179337,20260115203122,2026-01-15 20:31:22,False,True,True
